rank,entry,origin,package,n_lines,stdin,want_rc,heap_kb,stack_kb
310,S03-smartmatch/00-sanity,roast__S03-smartmatch/00-sanity,roast,61,0,0,,
311,S03-smartmatch/any-any,roast__S03-smartmatch/any-any,roast,28,0,0,,
312,S03-smartmatch/any-bool,roast__S03-smartmatch/any-bool,roast,22,0,0,,
313,S03-smartmatch/any-callable,roast__S03-smartmatch/any-callable,roast,29,0,0,,
314,S03-smartmatch/any-complex,roast__S03-smartmatch/any-complex,roast,19,0,0,,
315,S03-smartmatch/any-hash-pair,roast__S03-smartmatch/any-hash-pair,roast,16,0,0,,
316,S03-smartmatch/any-method,roast__S03-smartmatch/any-method,roast,14,0,0,,
317,S03-smartmatch/any-num,roast__S03-smartmatch/any-num,roast,45,0,0,,
318,S03-smartmatch/any-pair,roast__S03-smartmatch/any-pair,roast,36,0,0,,
319,S03-smartmatch/any-str,roast__S03-smartmatch/any-str,roast,13,0,0,,
320,S03-smartmatch/any-sub,roast__S03-smartmatch/any-sub,roast,21,0,0,,
321,S03-smartmatch/any-type,roast__S03-smartmatch/any-type,roast,52,0,0,,
322,S03-smartmatch/array-array,roast__S03-smartmatch/array-array,roast,112,0,0,,
323,S03-smartmatch/array-hash,roast__S03-smartmatch/array-hash,roast,19,0,0,,
324,S03-smartmatch/array-map,roast__S03-smartmatch/array-map,roast,17,0,0,,
325,S03-smartmatch/capture-signature,roast__S03-smartmatch/capture-signature,roast,59,0,0,,
326,S03-smartmatch/disorganized,roast__S03-smartmatch/disorganized,roast,145,0,0,,
327,S03-smartmatch/hash-hash,roast__S03-smartmatch/hash-hash,roast,37,0,0,,
328,S03-smartmatch/range-range,roast__S03-smartmatch/range-range,roast,89,0,0,,
329,S03-smartmatch/regex-hash,roast__S03-smartmatch/regex-hash,roast,13,0,0,,
330,S03-smartmatch/scalar-hash,roast__S03-smartmatch/scalar-hash,roast,12,0,0,,
331,S03-smartmatch/signature-signature,roast__S03-smartmatch/signature-signature,roast,71,0,0,,
332,S04-blocks-and-statements/let,roast__S04-blocks-and-statements/let,roast,98,0,0,,
333,S04-blocks-and-statements/pointy-rw,roast__S04-blocks-and-statements/pointy-rw,roast,61,0,0,,
334,S04-blocks-and-statements/pointy,roast__S04-blocks-and-statements/pointy,roast,137,0,0,,
335,S04-blocks-and-statements/temp,roast__S04-blocks-and-statements/temp,roast,255,0,0,,
336,S04-declarations/constant-6.d,roast__S04-declarations/constant-6.d,roast,701,0,0,,
337,S04-declarations/constant,roast__S04-declarations/constant,roast,390,0,0,,
338,S04-declarations/implicit-parameter,roast__S04-declarations/implicit-parameter,roast,71,0,0,,
339,S04-declarations/multiple,roast__S04-declarations/multiple,roast,41,0,0,,
340,S04-declarations/my-6e,roast__S04-declarations/my-6e,roast,437,0,0,,
